LONG;0.5000000;1.0000000;0.2173316;OK; 0.5229623;-0.6965402; 60;  0.4598346; 428065200 11_00_00 PC.gif; False; 0.20; 28; 0.21;0.29;0.23;0.04;-0.23;-0.15;-0.09;-0.47;-0.59;-0.41;-0.38;-0.45;-0.54;-0.35;0.01;0.49;0.20;0.22;0.04;-0.16;-0.21;0.07;0.16;0.21;0.39;0.27;0.22
LONG;0.5000000;1.0000000;0.1175866;BAD; 0.3152713;-0.9017116; 10;  0.4185152; 428066400 11_20_00 PC.gif; False; 0.20; 24; -0.44;-0.35;-0.30;-0.68;-0.80;-0.61;-0.59;-0.66;-0.74;-0.56;-0.19;0.28;-0.01;0.01;-0.17;-0.37;-0.41;-0.14;-0.05;0.01;0.18;0.07;0.01;0.19;-0.09;-0.11;0.12
LONG;0.5000000;1.0000000;0.2556941;OK; 0.4787045;-0.7402611; 15; - 0.8072781; 428067300 11_35_00 PC.gif; False; 0.20; 21; -0.52;-0.63;-0.45;-0.43;-0.49;-0.58;-0.39;-0.03;0.44;0.16;0.18;-0.00;-0.21;-0.25;0.02;0.12;0.17;0.34;0.23;0.17;0.35;0.07;0.05;0.28;0.34;0.17;0.26
LONG;0.5000000;1.0000000;1.2645134;OK; 1.2645134;0.1790789; 80;  0.7118268; 428072400 01_00_00 PC.gif; False; 0.20; 29; 0.59;0.48;0.42;0.60;0.32;0.30;0.53;0.59;0.42;0.50;0.45;0.35;0.21;0.38;0.54;0.61;0.63;0.73;0.73;1.04;1.21;1.09;1.07;1.05;1.16;1.16;1.25
LONG;0.5000000;1.0000000;1.0000000;OK; 3.1804689;0.5698068; 590;  0.9839347; 428107800 10_50_00 PC.gif; False; 0.20; 5; 1.98;2.45;1.66;1.97;1.78;1.50;0.97;1.05;1.44;1.50;1.70;1.60;2.24;2.03;1.81;1.74;1.09;1.01;1.29;1.22;1.34;1.40;1.29;1.24;1.34;1.50;1.33
LONG;0.5000000;1.0000000;0.2685396;OK; 1.3426720;-0.3715343; 500; - 0.7670730; 428137800 07_10_00 PC.gif; False; 0.20; 17; -0.05;0.24;0.15;0.11;-0.13;-0.06;-0.12;0.17;0.34;0.39;0.46;0.57;1.01;0.95;0.80;0.82;0.81;0.71;0.65;0.57;0.72;0.65;0.51;0.58;0.65;0.53;0.27
LONG;0.5000000;1.0000000;1.3210023;OK; 1.4029729;-0.6142704; 15; - 0.3659815; 428139300 07_35_00 PC.gif; False; 0.20; 30; -0.31;-0.37;-0.07;0.10;0.15;0.21;0.33;0.76;0.71;0.56;0.57;0.57;0.46;0.40;0.33;0.48;0.40;0.27;0.34;0.40;0.29;0.02;0.54;0.60;0.91;0.98;1.30
LONG;0.5000000;1.0000000;1.5000000;OK; 1.7746963;-0.2399611; 10; - 0.3226351; 428140500 07_55_00 PC.gif; False; 0.20; 27; 0.45;0.52;0.63;1.07;1.01;0.86;0.88;0.87;0.77;0.71;0.63;0.78;0.71;0.58;0.64;0.71;0.59;0.33;0.85;0.90;1.21;1.28;1.60;1.48;1.45;1.19;1.08
LONG;0.5000000;1.0000000;-0.5000000;BAD; 1.2500000;-1.2968750; 25;  0.3861505; 428142000 08_20_00 PC.gif; False; 0.20; 22; 0.35;0.36;0.36;0.25;0.19;0.12;0.27;0.19;0.06;0.13;0.19;0.08;-0.19;0.33;0.39;0.70;0.77;1.09;0.97;0.94;0.68;0.57;0.63;-0.49;-0.60;-1.18;-0.74
LONG;0.5000000;1.0000000;-0.4876195;BAD; 0.9942793;-1.5461632; 35; - 0.1593587; 428144100 08_55_00 PC.gif; False; 0.20; 15; -0.06;-0.19;-0.12;-0.06;-0.18;-0.44;0.08;0.14;0.45;0.52;0.84;0.71;0.69;0.43;0.31;0.38;-0.75;-0.85;-1.44;-0.99;-0.41;-0.52;-0.89;-0.53;-0.57;-0.41;-0.49
LONG;0.5000000;1.0000000;1.0069108;OK; 1.0566557;-0.3602265; 135; - 0.2261017; 428152200 11_10_00 PC.gif; False; 0.20; 29; 0.07;0.43;0.33;0.38;0.48;0.46;0.33;0.18;0.01;-0.19;0.08;0.01;0.06;0.04;-0.04;0.02;0.12;0.12;0.24;0.41;0.54;0.84;0.66;0.59;0.69;0.82;1.00
LONG;0.5000000;1.0000000;1.5000000;OK; 2.7593343;-0.6932169; 25;  0.2063139; 428154000 11_40_00 PC.gif; False; 0.20; 30; 0.00;-0.16;-0.33;-0.53;-0.25;-0.33;-0.28;-0.29;-0.38;-0.31;-0.22;-0.21;-0.09;0.07;0.21;0.51;0.33;0.25;0.36;0.49;0.66;1.07;0.66;1.15;2.23;1.98;2.56
LONG;0.5000000;1.0000000;1.5000000;OK; 2.7586657;-0.5361491; 20; - 0.3528901; 428155200 12_00_00 PC.gif; False; 0.20; 26; -0.25;-0.33;-0.28;-0.29;-0.38;-0.31;-0.22;-0.22;-0.09;0.07;0.21;0.50;0.33;0.25;0.36;0.49;0.66;1.07;0.66;1.15;2.23;1.98;2.56;1.96;1.57;1.83;1.59
LONG;0.5000000;1.0000000;1.5000000;OK; 3.2991148;-0.0130288; 15;  0.9218140; 428156100 12_15_00 PC.gif; False; 0.20; 23; 0.23;0.15;0.21;0.30;0.31;0.43;0.60;0.73;1.03;0.85;0.77;0.88;1.01;1.18;1.59;1.18;1.66;2.74;2.49;3.07;2.47;2.09;2.34;2.11;1.72;1.70;1.80
LONG;0.5000000;1.0000000;1.5000000;OK; 4.1827244;0.3034788; 145;  0.7420060; 428165100 02_45_00 PC.gif; False; 0.20; 26; 0.62;1.01;1.14;0.93;0.70;0.77;0.97;1.42;1.34;1.66;1.74;1.91;1.65;2.06;2.14;1.99;2.01;1.98;2.01;3.25;3.26;3.20;3.79;3.38;3.05;2.49;2.39
